SIREN,SIRET,Nom société,Enseigne,Catégorie entreprise,Forme juridique,Date création,Code NAF,Libellé NAF,Tranche effectifs,Adresse,Code postal,Ville,Site web,Email générique,Téléphone standard,Nom dirigeant,Prénom dirigeant,Fonction dirigeant,Email dirigeant,Téléphone dirigeant,LinkedIn dirigeant,LinkedIn société,Spécialité Santé,Spécialité Prévoyance,Spécialité IARD,Spécialité Auto,Spécialité RC Pro,Spécialité Entreprises,Spécialité Collectives,Spécialité Particuliers,Nb collaborateurs estimé,Niveau digitalisation,ICP Score,Priorité,Potentiel,Statut prospection,Canal,Date premier contact,Dernier contact,Relance prévue,Démo réalisée,Proposition envoyée,Closing estimé,Notes
384713517,38471351700033,,,PME,1000,1992-01-01,66.22Z,66.22Y,03,2 PLACE CHARLES DE GAULLE,35420,LOUVIGNE-DU-DESERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384713517,38471351700041,,,PME,1000,1992-01-01,66.22Z,66.22Y,03,9 PLACE DE LARIBOISIERE,35300,FOUGERES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384956884,38495688400165,LAPLACE,,ETI,5710,1992-03-01,66.22Z,66.22Y,32,24 BOULEVARD DE LA RESISTANCE,56000,VANNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384956884,38495688400371,LAPLACE,,ETI,5710,1992-03-01,66.22Z,66.22Y,32,69 AVENUE DU GENERAL DE GAULLE,22190,PLERIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384956884,38495688400389,LAPLACE,,ETI,5710,1992-03-01,66.22Z,66.22Y,32,255 RUE DE SAINT-MALO,35000,RENNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384956884,38495688400413,LAPLACE,,ETI,5710,1992-03-01,66.22Z,66.22Y,32,18 QUAI COMMANDANT MALBERT,29200,BREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384969226,38496922600073,STANISLAS DE CORLIEU COURTAGE - S2C COURTAGE,,PME,5499,1992-04-01,66.22Z,66.22Y,02,1 RUE THIERS,56000,VANNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385190293,38519029300030,,,PME,1000,1992-03-11,66.22Z,66.22Y,NN,8 BOULEVARD CHATEAUBRIAND,35400,SAINT-MALO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385351358,38535135800135,[ND],[ND],PME,1000,1992-04-01,66.22Z,66.22Y,NN,[ND] [ND] [ND],[ND],RENNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387594963,38759496300036,FILHET ALLARD MARITIME SA,,ETI,5710,1992-06-01,66.22Z,66.22Y,22,14 RUE DU SOUS-MARIN VENUS,56100,LORIENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
